VENTLUNG,MINVOLSET,DISCONNECT,VENTMACH,PRESS,FIO2,PVSAT,EXPCO2,HREKG,ERRCAUTER,HRBP,ERRLOWOUTPUT,MINVOL,KINKEDTUBE,STROKEVOLUME,LVFAILURE,LVEDVOLUME,HYPOVOLEMIA,HRSAT,HISTORY,ANAPHYLAXIS,PAP,INTUBATION,VENTTUBE,VENTALV,CATECHOL,ARTCO2,HR,CO,BP,TPR,PCWP,INSUFFANESTH,SHUNT,PULMEMBOLUS,CVP,SAO2
0,0,0,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0
0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,2,0
0,0,0,1,2,0,0,0,2,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0
0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0
0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
0,0,0,1,2,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,2,2,0,0,1,0,1,0
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0
1,0,0,0,2,0,0,1,2,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0
