Column1,Network,CorRate,Method,Metric,Value
0,DIARRHOEA,0.1,UpCM,SHD,61.9
1,DIARRHOEA,0.1,UpCM,F1,0.217066968
2,DIARRHOEA,0.1,UpCM,F1$^c$,0.700159008
3,DIARRHOEA,0.1,PCstable$^{\triangledown}$,SHD,65.1
4,DIARRHOEA,0.1,PCstable$^{\triangledown}$,F1,0.103265325
5,DIARRHOEA,0.1,PCstable$^{\triangledown}$,F1$^c$,0.119444444
6,DIARRHOEA,0.1,GES$^{\triangledown}$,SHD,65.7
7,DIARRHOEA,0.1,GES$^{\triangledown}$,F1,0.071726437
8,DIARRHOEA,0.1,GES$^{\triangledown}$,F1$^c$,0.400505051
9,DIARRHOEA,0.1,MAHC$^{\triangledown}$,SHD,61.9
10,DIARRHOEA,0.1,MAHC$^{\triangledown}$,F1,0.212531786
11,DIARRHOEA,0.1,MAHC$^{\triangledown}$,F1$^c$,0.287878788
12,DIARRHOEA,0.2,UpCM,SHD,61.5
13,DIARRHOEA,0.2,UpCM,F1,0.273604939
14,DIARRHOEA,0.2,UpCM,F1$^c$,0.650226657
15,DIARRHOEA,0.2,PCstable$^{\triangledown}$,SHD,64.6
16,DIARRHOEA,0.2,PCstable$^{\triangledown}$,F1,0.121021167
17,DIARRHOEA,0.2,PCstable$^{\triangledown}$,F1$^c$,0.171519608
18,DIARRHOEA,0.2,GES$^{\triangledown}$,SHD,63.5
19,DIARRHOEA,0.2,GES$^{\triangledown}$,F1,0.124577083
20,DIARRHOEA,0.2,GES$^{\triangledown}$,F1$^c$,0.403869478
21,DIARRHOEA,0.2,MAHC$^{\triangledown}$,SHD,63.4
22,DIARRHOEA,0.2,MAHC$^{\triangledown}$,F1,0.21256347
23,DIARRHOEA,0.2,MAHC$^{\triangledown}$,F1$^c$,0.338608531
24,DIARRHOEA,0.5,UpCM,SHD,56.7
25,DIARRHOEA,0.5,UpCM,F1,0.427999647
26,DIARRHOEA,0.5,UpCM,F1$^c$,0.602603284
27,DIARRHOEA,0.5,PCstable$^{\triangledown}$,SHD,63.2
28,DIARRHOEA,0.5,PCstable$^{\triangledown}$,F1,0.152090983
29,DIARRHOEA,0.5,PCstable$^{\triangledown}$,F1$^c$,0.175201566
30,DIARRHOEA,0.5,GES$^{\triangledown}$,SHD,61.375
31,DIARRHOEA,0.5,GES$^{\triangledown}$,F1,0.191778892
32,DIARRHOEA,0.5,GES$^{\triangledown}$,F1$^c$,0.342999636
33,DIARRHOEA,0.5,MAHC$^{\triangledown}$,SHD,61.6
34,DIARRHOEA,0.5,MAHC$^{\triangledown}$,F1,0.244756361
35,DIARRHOEA,0.5,MAHC$^{\triangledown}$,F1$^c$,0.303762487
36,PROPERTY,0.1,UpCM,SHD,24.4
37,PROPERTY,0.1,UpCM,F1,0.315262422
38,PROPERTY,0.1,UpCM,F1$^c$,0.86
39,PROPERTY,0.1,PCstable$^{\triangledown}$,SHD,25.4
40,PROPERTY,0.1,PCstable$^{\triangledown}$,F1,0.279401657
41,PROPERTY,0.1,PCstable$^{\triangledown}$,F1$^c$,0.49
42,PROPERTY,0.1,GES$^{\triangledown}$,SHD,28.5
43,PROPERTY,0.1,GES$^{\triangledown}$,F1,0.17198293
44,PROPERTY,0.1,GES$^{\triangledown}$,F1$^c$,0.62
45,PROPERTY,0.1,MAHC$^{\triangledown}$,SHD,25.5
46,PROPERTY,0.1,MAHC$^{\triangledown}$,F1,0.34438296
47,PROPERTY,0.1,MAHC$^{\triangledown}$,F1$^c$,0.62
48,PROPERTY,0.2,UpCM,SHD,22.3
49,PROPERTY,0.2,UpCM,F1,0.410275016
50,PROPERTY,0.2,UpCM,F1$^c$,0.79514319
51,PROPERTY,0.2,PCstable$^{\triangledown}$,SHD,24.2
52,PROPERTY,0.2,PCstable$^{\triangledown}$,F1,0.324740428
53,PROPERTY,0.2,PCstable$^{\triangledown}$,F1$^c$,0.509163059
54,PROPERTY,0.2,GES$^{\triangledown}$,SHD,27.7
55,PROPERTY,0.2,GES$^{\triangledown}$,F1,0.197154129
56,PROPERTY,0.2,GES$^{\triangledown}$,F1$^c$,0.602813853
57,PROPERTY,0.2,MAHC$^{\triangledown}$,SHD,26.2
58,PROPERTY,0.2,MAHC$^{\triangledown}$,F1,0.329016249
59,PROPERTY,0.2,MAHC$^{\triangledown}$,F1$^c$,0.469047619
60,PROPERTY,0.5,UpCM,SHD,18.1
61,PROPERTY,0.5,UpCM,F1,0.600765646
62,PROPERTY,0.5,UpCM,F1$^c$,0.810156612
63,PROPERTY,0.5,PCstable$^{\triangledown}$,SHD,21.5
64,PROPERTY,0.5,PCstable$^{\triangledown}$,F1,0.44911491
65,PROPERTY,0.5,PCstable$^{\triangledown}$,F1$^c$,0.568076793
66,PROPERTY,0.5,GES$^{\triangledown}$,SHD,23.28571429
67,PROPERTY,0.5,GES$^{\triangledown}$,F1,0.399499687
68,PROPERTY,0.5,GES$^{\triangledown}$,F1$^c$,0.626583851
69,PROPERTY,0.5,MAHC$^{\triangledown}$,SHD,21.6
70,PROPERTY,0.5,MAHC$^{\triangledown}$,F1,0.480215943
71,PROPERTY,0.5,MAHC$^{\triangledown}$,F1$^c$,0.596562394
